név;orszag;Technikai;Komponens;levonas
Anne Line GJERSEM;NOR;45.1;21.69;0
Joshi HELGESSON;SWE;27.85;25.22;1
Anna KHNYCHENKOVA;UKR;45011;21.68;1
Dasa GRM;SLO;45.10;45.99;1
Anastasia GALUSTYAN;ARM;30.63;24.57;0
Emmi PELTONEN;FIN;25.18;25.56;0
Shuran YU;SGP;30.31;22.56;0
Carolina KOSTNER;ITA;32.44;33.89;0
Michaela-Lucie HANZLIKOVA;CZE;16.55;19.66;4
Xiangning LI;CHN;33.49;24.79;0
Yasmine Kimiko YAMADA;SUI;26.57;21.29;0
Amy LIN;TPE;45013;23.83;0
Kailani CRAINE;AUS;31.54;25.43;0
Helery HÃ„LVIN;EST;28.21;15212;0
Natasha MCKAY;GBR;25.58;24.52;0
Kerstin FRANK;AUT;27.83;22.71;0
Loena HENDRICKX;BEL;30.71;26.83;0
Isadora WILLIAMS;BRA;27.79;22.86;0
Mariah BELL;USA;32.16;28.86;0
Laurine LECAVELIER;FRA;29.77;12152;1
Zijun LI;CHN;29.73;26.57;0
Ivett TOTH;HUN;12.06;45.43;0
Wakaba HIGUCHI;JPN;36.84;45.14;0
Mai MIHARA;JPN;30.88;29.71;1
Nicole SCHOTT;GER;29.64;26.19;1
Kaetlyn OSMOND;CAN;41.23;34.75;0
Dabin CHOI;KOR;35.46;44.84;0
Karen CHEN;USA;38.35;31.63;0
Angelina KUCHVALSKA;LAT;28.24;27.68;0
Nicole RAJICOVA;SVK;29.93;27.15;0
Elizabet TURSYNBAEVA;KAZ;36.65;28.83;0
Evgenia MEDVEDEVA;RUS;15.32;36.91;0
Gabrielle DALEMAN;CAN;39.19;45.68;0
Ashley WAGNER;USA;35.27;33.77;0
Maria SOTSKOVA;RUS;38.14;31.62;0
Rika HONGO;JPN;31.45;16407;0
Anna POGORILAYA;RUS;37.21;34.31;0
